ICO;DATVZN;DATZAN;ICOP;ICON;HLSKNACE;SKNACE;FORMA;DRVLST;USORG;SNU;KATP;KATP13;SIDKRJ;SIDOKR;SIDOBEC;TYPJ;ESU2010;NAZOV;SNAZOV;PRIEZ;MENO;TITPRED;TITZA;SIDUL;SIDSUPCISLO;SIDORCISLO;SIDPSC;SIDPOSTA
596795;01.01.1989;31.12.2500;"00111597; 00167011";37869;72200;;321;4;99;610;12;999;SK010;SK0101;SK0101528595;1110;13110;Centrum spoločenských a psychologických vied Slovenskej akadémie vied;Centrum spoločenských a psychologických vied;Lubyová;Mgr. Martina;3;53;Šancová;;56;81105;Bratislava 1
597058;01.01.1989;25.09.2000;;;47190;;501;4;57;101;0;999;SK022;SK0226;SK0226512842;9100;;OD PRIOR ZÁVOD  02;OD PRIOR ZÁVOD  02;;;;;CENTRUM;3;5;01763;Považská Bystrica 1
597228;12.11.1990;27.12.1999;;;;;301;4;27;101;0;999;SK010;SK0108;SK0108508209;1100;;Výskumný ústav poľnohospodárskej techniky, štátny podnik v likvidácii;Výskumný ústav poľnohospodárskej techniky, š;Ďurana;Juraj;1;;Rovinka;;325;90041;Rovinka
597384;01.01.1989;14.07.2003;;;;93110;331;4;67;610;0;999;SK041;SK0416;SK0416523381;1110;;Školské stredisko záujmovej činnosti (ŠSZČ);Školské stredisko záujmovej činnosti (ŠSZČ);Vnuk;Martin;16;;Športová;1397;1;05801;Poprad 1
597392;01.01.1989;31.12.2500;;30794536;87900;;321;4;22;610;12;999;SK042;SK0428;SK0428525634;1110;13110;Detský domov Dobšiná;Detský domov Dobšiná;Fundjová;Amália;16;;Nová;;809;04925;Dobšiná
597511;01.03.1989;31.12.2007;;;75000;;331;4;27;101;0;999;SK023;SK0233;SK0233500011;1100;;Štátny veterinárny a potravinový ústav;Štátny veterinárny a potravinový ústav;Šnirc;Július;5;51;Akademická;;3;94901;Nitra 1
597520;01.03.1989;31.12.1999;;;75000;;331;4;27;101;0;999;SK031;SK031B;SK031B517402;1100;;ŠTÁTNY VETERINÁRNY ÚSTAV;ŠTÁTNY VETERINÁRNY ÚSTAV;;;;;ZÁVODSKÁ CESTA;;38;01108;Žilina 1
597538;01.03.1989;31.12.2013;;;75000;;331;4;27;610;0;999;SK032;SK032B;SK032B518158;1110;;Štátny veterinarny ústav;Štátny veterinárny ústav,zvolen;;;;;Pod dráhami;;918;96086;Zvolen 1
597546;01.03.1989;31.12.2013;;;75000;;331;4;27;610;0;999;SK042;SK0422;SK0422598151;1110;;Štátny veterinárny a potravinový ústav;Štátny veterinárny a potravinový ústav;;;;;Hlinkova;;1;04001;Košice 1
597554;01.03.1989;31.05.2007;;;75000;;331;4;27;101;0;999;SK041;SK0417;SK0417524140;1100;;Štátny veterinárny a potravinový ústav;Štátny veterinárny a potravinový  ústav;;;;;Bajkalská;;28;08091;Prešov 1
597562;01.03.1989;31.12.1999;;;75000;;331;4;27;101;0;999;SK042;SK0427;SK0427522279;1100;;Štátny veterinárny ústav;Štátny veterinárny ústav;;;;;S.Chalupku;;20;07101;Michalovce 1
597643;18.04.1989;31.12.2500;;;46520;;121;4;26;101;0;999;SK010;SK0101;SK0101528595;1110;13110;SOMDIS Bratislava a.s. v likvidácii;SOMDIS Bratislava a.s. v likvidácii;Szabó;Ladislav;1;;Michalská;;2;81101;Bratislava 1
597686;01.04.1989;03.05.2004;;;46190;;301;4;26;101;0;999;SK042;SK0422;SK0422598186;1100;;KOMPENZA š.p. Košice, v likvidácii;KOMPENZA š.p. Košice, v likvidácii;Klein;Štefan;1;;Bellova;;3;04001;Košice 1
597732;01.05.1989;21.09.1999;;;10610;;301;4;27;101;0;999;SK021;SK0214;SK0214507440;1100;;Piešťanské mlyny a cestovinárne, š. p.;Piešťanské mlyny a cestovinárne, š. p.;;;;;HURBANOVA;2485;21;92135;Piešťany 1
597864;01.07.1989;31.12.2500;;165182;47610;;301;4;24;101;0;999;SK010;SK0103;SK0103529346;1110;13110;Slovenská kniha Bratislava, š.p. v likvidácii;Slovenská kniha Bratislava, š.p. v likvidáci;Černák;Marián;3;;Jaskový rad;;79;83101;Bratislava 37
597872;01.07.1989;14.05.2004;;;;;301;4;24;101;0;999;SK031;SK031B;SK031B517402;1100;;SLOVENSKÁ KNIHA ŽILINA, Š. P. v likvidácii;SLOVENSKÁ KNIHA ŽILINA, Š. P. v likvidácii;Černák;Marián;3;;Marxa-Engelsa;;1;01091;Žilina 1
597881;01.07.1989;31.12.2500;;;47610;;301;4;24;101;0;999;SK010;SK0101;SK0101528595;1110;13110;Slovenská kniha Prešov, š.p., v likvidácii;Slovenská kniha Prešov, š.p., v likvidácii;Černák;Marián;3;;Jakubovo nám.;;12;81109;Bratislava 1
597899;01.07.1989;31.12.2500;;686832;33200;;301;4;26;101;0;999;SK022;SK0227;SK0227513881;1100;11001;Tesla, štátny podnik;Tesla, štátny podnik;;;;;Pod Banskou;;14;97180;Prievidza 1
598411;01.01.1990;31.12.2500;;37869;72190;;331;4;99;610;12;10;SK010;SK0104;SK0104529397;1110;13110;Ústav merania Slovenskej akadémie vied;Ústav merania Slovenskej akadémie vied;Tyšler;Milan;1;71;Dúbravská cesta;;9;84104;Bratislava 4
598429;01.01.1990;31.12.2500;;37869;72190;;331;4;99;610;21;999;SK010;SK0104;SK0104529397;1110;13110;Elektrotechnický ústav Slovenskej akadémie vied;Elektrotechnický ústav SAV;Cambel;Vladimír;6;51;Dúbravská cesta;;9;84104;Bratislava 4
598445;01.01.1990;01.01.2016;;;72190;86220;321;4;99;610;0;999;SK010;SK0103;SK0103529346;1110;13110;Ústav experimentálnej endokrinológie Slovenskej akadémie vied;Ústav experimentálnej endokrinológie SAV;Zorad;Štefan;1;51;Vlárska;;3;83306;Bratislava 37
598453;01.01.1990;31.12.2500;"00598461; 00598470";37869;72190;;331;4;99;610;21;999;SK010;SK0104;SK0104529397;1110;13110;Centrum experimentálnej medicíny Slovenskej akadémie vied;Centrum experimentálnej medicíny SAV;Dubovický;Michal;6;51;Dúbravská cesta;3484;9;84104;Bratislava 4
598461;01.01.1990;01.01.2018;;;72190;;321;4;99;610;0;999;SK010;SK0104;SK0104529397;1110;13110;Ústav pre výskum srdca Slovenskej akadémie vied;Ústav pre výskum srdca SAV;Barančík;Miroslav;6;52;Dúbravská cesta;;9;84005;Bratislava 45
598470;01.01.1990;01.01.2018;;;72190;;331;4;99;610;0;999;SK010;SK0101;SK0101528595;1110;13110;Ústav normálnej a patologickej fyziológie Slovenskej akadémie vied;Ústav normálnej a patologickej fyziológ.SAV;Pecháňová;Oľga;6;52;Sienkiewiczova;;1;81371;Bratislava 1
598526;01.01.1990;31.12.2004;;;;;331;4;27;101;0;999;SK032;SK0321;SK0321508438;1100;;Výskumný ústav trávnych porastov a horského poľnohospodárstva;Výskumný ústav trávnych porastov a horského;;;;;Mládežnícka;;36;97421;Banská Bystrica 1
598658;01.01.1990;31.12.2500;;;86100;;331;4;21;101;0;999;SK010;SK0103;SK0103529346;1100;11001;Slovenský ústav srdcových a cievnych chorôb;Slovenský ústav srdcových a cievnych chorôb;;;;;Pod Krásnou hôrkou;;1;83348;Bratislava 37
598682;01.08.1990;31.12.2500;;;47210;;121;4;99;101;0;999;SK010;SK0103;SK0103529346;1110;13110;TESLA - spotrebná elektronika, a.s. pobočný obchodno - servisný podnik;TESLA - spotrebná elektronika, a.s. pobočný;;;;;Varšavská;;26;83612;Bratislava 33
602540;17.12.1990;31.12.2003;;;;;321;4;20;610;0;999;SK010;SK0103;SK0103529346;1110;;Centrum akademického športu MŠ SR;Centrum akademického športu MŠ SR;;;;;Trnavská cesta;;31;83296;Bratislava 3
603457;27.12.1990;31.12.2500;;;87300;85321;321;4;22;610;21;999;SK010;SK0104;SK0104529397;1110;13110;Inštitút pre pracovnú rehabilitáciu občanov so zdravotným postihnutím;Inštitút pre pracovnú rehabilitáciu občanov;Piršel;Dušan;8;;Mokrohájska;;1;84240;Bratislava 4
604178;01.01.1991;31.12.2500;;;46240;;501;4;26;101;0;999;SK023;SK0233;SK0233500011;9100;11001;DATASYSTÉM, š.p., odštepný závod;DATASYSTÉM, š.p., odštepný závod;;;;;;;;94901;Nitra 1
604186;01.01.1991;30.06.1996;;;46240;;501;4;26;101;0;999;SK031;SK031B;SK031B517402;9100;;DATASYSTÉM, Š.P.,ODŠT.ZÁVOD;DATASYSTÉM, Š.P.,ODŠT.ZÁVOD;;;;;HAVLÍČKOVA;;13;01044;Žilina 1
604208;01.01.1991;31.12.2500;;;46240;;501;4;26;101;0;999;SK042;SK0422;SK0422598186;9100;11001;Datasystém š.p. odšt.závod;Datasystém š.p. odšt.závod;;;;;Mäsiarska;;18;04001;Košice 1
604666;01.01.1996;30.09.2001;;;;69200;501;4;29;101;0;999;SK010;SK0102;SK0102529320;9100;;SAD Bratislava, š.p., Odštepný závod 892 Závod výpočtovej techniky a služieb;SAD Bratislava, š.p., Odštepný závod 892 Záv;;;;;Hraničná;;22;82743;Bratislava 212
605204;01.01.1991;23.02.1999;;;;;501;4;26;101;0;999;SK031;SK031B;SK031B517402;9100;;Drevoindustria, strojný závod;Drevoindustria, strojný závod;;;;;Jakubčíkova;;3;01001;Žilina 1
605301;01.01.1991;29.10.1999;;;;;301;4;27;101;0;999;SK031;SK0315;SK0315510726;1100;;Semenoles, š.p.;Semenoles, š.p.;;;;;Pri železnici;;52;03319;Liptovský Hrádok 1
605336;01.01.1991;31.12.2500;"00597228; 00155195; 00035106";156621;71129;;301;4;27;101;0;999;SK010;SK0101;SK0101528595;1110;13110;Hydrocoop, štátny podnik v likvidácii;Hydrocoop, štátny podnik v likvidácii;Bakša;Miroslav;1;;Radlinského;;37;81107;Bratislava 1
605344;01.01.1991;31.12.2500;;;71129;;301;4;26;101;0;999;SK010;SK0101;SK0101528595;1100;11001;Hydrotechnológia,  š.p.;Hydrotechnológia,  š.p.;;;;;Radlinského;;33;81107;Bratislava 1
605751;01.01.1991;31.12.2500;;;85310;;321;4;20;610;12;999;SK010;SK0104;SK0104529389;1110;13110;Gymnázium;Gymnázium;Dančík;Ján;16;;Bilíkova;;24;84419;Bratislava 42
605778;01.01.1991;31.12.2004;;;85310;;321;4;20;610;0;999;SK010;SK0102;SK0102529320;1110;;Gymnázium Jura Hronca;Gymnázium Jura Hronca;;;;;Novohradská;;1;82109;Bratislava 2
605794;01.01.1991;31.12.2500;;;85321;85310;321;4;20;610;12;999;SK010;SK0102;SK0102529320;1110;13110;Stredná odborná škola  pre žiakov so sluchovým postihnutím Gymnázium Odborné učilište Koceľova 26 821 08 Bratislava;SOŠ pre žiakov so sluchový postihnutím;Kršková;Eva;16;;Koceľova;;26;82108;Bratislava 2
605824;01.01.1991;31.12.2500;;30416094;71129;;301;4;29;101;0;999;SK010;SK0103;SK0103529354;1100;11001;Ústav organizácie práce v spojoch, š.p.;Ústav organizácie práce v spojoch, š.p.;;;;;Pri šajbách;;4;83514;Bratislava 35
605883;01.01.1991;20.04.2006;;;;;301;4;28;101;0;999;SK031;SK031B;SK031B517402;1100;;Ekobaum,Žilina,štátny podnik v likvidácii;Ekobaum,Žilina,štátny podnik v likvidácii;Ďurčanský;Miroslav;1;;Jána Milca;;14;01143;Žilina 1
605905;01.01.1991;31.12.2500;;;82910;;301;4;26;101;0;999;SK041;SK0417;SK0417524140;1110;13110;POZEMNÉ STAVBY-generálny kontraktor Prešov š.p. v likvidácia;POZEMNÉ STAVBY-generálny kontraktor Prešov š;Mokáň;Miroslav;1;;Masarykova;;16;08001;Prešov 1
605913;01.01.1991;04.04.2002;;;;46150;301;4;26;101;0;999;SK041;SK0417;SK0417524140;1100;;Data-stav š.p. v likvidácii;Data-stav š.p. v likvidácii;Hudák;Jozef;1;;Masarykova;;20;08001;Prešov 1
605930;01.01.1991;16.04.2008;;;23610;"46720; 46730; 47520; 68200; 25620";301;4;26;101;0;999;SK042;SK042A;SK042A526355;1100;;Stavovýroba Prešov, š.p. v likvidácii;Stavovýroba Prešov, š.p. v likvidácii;Olšavský;Emanuel;1;;Štefánikovo nám.;;4;05201;Spišská Nová Ves 1
605948;01.01.1991;12.01.2001;;;;;301;4;26;101;0;999;SK041;SK0417;SK0417524140;1100;;"STAVOSERVIS Prešov, štátny podnik ""v likvidácii""";STAVOSERVIS Prešov š.p. v likvidácii;Vadina;Jozef;1;51;Masarykova;;20;08001;Prešov 1
606006;01.01.1991;12.02.2010;;;43340;;301;4;28;101;0;999;SK041;SK0412;SK0412520004;1100;;STAVEX HUMENNÉ, štátny podnik v likvidácii;STAVEX HUMENNÉ, štátny podnik v likvidácii;Lešo;Ján;1;;Staničná;;11;06601;Humenné 1
606090;01.01.1991;01.07.1997;;;;;301;4;26;101;0;999;SK022;SK0227;SK0227513881;1100;;Stavomontáže, š.p.;Stavomontáže, š.p.;;;;;Sebedražská cesta;;4;97124;Prievidza 1
606146;01.01.1991;23.11.1998;;;23610;;301;4;26;101;0;999;SK041;SK041D;SK041D581674;1100;;Pórobetón š.p.;Pórobetón š.p.;Sestrienka;Walter;1;;Hencovská;2063;18;09302;Vranov nad Topľou 2
606197;01.01.1991;30.04.2005;;;;;301;4;28;101;0;999;SK042;SK0429;SK0429522660;1100;;Zemplínska tehelňa, Krčava š.p. v likvidácii;Zemplínska tehelňa, Krčava š.p. v likvidácii;Kuca;Jozef;1;;Krčava;;70;07251;Krčava
606201;01.01.1991;26.05.2010;;;23320;;301;4;28;101;0;999;SK032;SK032B;SK032B518158;1100;;Tehelňa, š.p. v likvidácii;Tehelňa, š.p. v likvidácii;;;;;Liesková  cesta;;16;96001;Zvolen 1
606235;01.01.1991;15.07.1998;;;;;301;4;26;101;0;999;SK042;SK0425;SK0425599824;1100;;MONTOSTROJ Košice, š.p.;MONTOSTROJ Košice, š.p.;Burtovský;Viliam;1;;Jazerná;;3;04012;Košice 12
606537;01.01.1991;31.12.2500;;686832;62020;;301;4;26;101;0;999;SK010;SK0102;SK0102529320;1100;11001;TECOMP, š.p.;TECOMP, š.p.;;;;;Bajkalská;;30;82730;Bratislava 212
606618;01.01.1991;14.02.2009;;;33120;;301;4;28;101;0;999;SK032;SK0326;SK0326511218;1100;;Ipeľské strojárne, š.p. v likvidácii;Ipeľské strojárne, š.p. v likvidácii;Vrba;Konrad;3;;Podjavorinskej;;;98401;Lučenec 1
606707;01.01.1991;31.12.2500;;165565;86100;86230;331;4;21;101;33;110;SK042;SK0425;SK0425599824;1110;13110;Univerzitná nemocnica L. Pasteura Košice;Univerzitná nemocnica L. Pasteura Košice;Maďar, MPH;Milan;4;;Rastislavova;;43;04190;Košice 1
606715;01.01.1991;31.12.2500;;165565;86100;;331;4;21;101;25;90;SK042;SK0423;SK0423598224;1110;13110;Detská fakultná nemocnica Košice;Detská fakultná nemocnica Košice;Urbančíková, PhD., M;Ingrid;4;;Trieda SNP;;1;04011;Košice 11
606723;01.01.1990;31.12.2500;;165565;84120;;321;4;21;610;22;999;SK042;SK0423;SK0423598224;1110;13110;Regionálny úrad verejného zdravotníctva so sídlom v Košiciach;Regionálny úrad verejného zdravotníctva;Slezák;Pavol;4;;Ipeľská;;1;04220;Košice 11
606731;01.01.1991;31.12.2500;;165565;86100;;331;4;21;101;25;90;SK042;SK0425;SK0425599824;1110;13110;Záchranná služba Košice;Záchranná služba Košice;Šteso;Ján;16;;Rastislavova;;43;04191;Košice 1
606839;01.01.1991;30.06.2002;;;;;331;4;21;101;0;999;SK042;SK0422;SK0422598151;1100;;Zdravotnícky servisný podnik;Zdravotnícky servisný podnik;Kočiš;Zoltán;1;;Čárskeho;;10;04233;Košice 1
606979;01.01.1995;31.12.2500;;165565;84120;;321;4;21;610;21;999;SK032;SK0321;SK0321508438;1110;13110;Regionálny úrad verejného zdravotníctva so sídlom v Banskej Bystrici;Regionálny úrad verejného zdravotníctva;Klement;MUDr. Cyril;71;51;Cesta k nemocnici;;1;97556;Banská Bystrica 1
606987;01.01.1991;31.12.2500;17336074;165565;86100;;331;4;21;101;23;50;SK032;SK032D;SK032D516970;1110;13110;Psychiatrická nemocnica prof. Matulaya Kremnica;Psychiatrická nemocnica prof. Matulaya;Ďurian;Tibor;4;;Čsl. armády;234;139;96712;Kremnica 1
607207;01.01.1991;31.12.2002;;;;47730;331;4;21;610;0;999;SK031;SK0318;SK0318510998;1110;;NEMOCNICA S POLIKLINIKOU;NEMOCNICA S POLIKLINIKOU;;;;;Považská;;2;03412;Ružomberok 1
607215;01.01.1991;31.12.2500;;165565;84120;;321;4;21;610;11;999;SK031;SK0315;SK0315510262;1110;13110;Regionálny úrad verejného zdravotníctva so sídlom v Liptovskom Mikuláši;Regionálny úrad verejného zdravotníctva;Chobotová;Eva;4;;Štúrova;;36;03180;Liptovský Mikuláš 1
607223;01.01.1991;31.12.2500;00165298;165565;84120;;321;4;21;610;22;999;SK010;SK0102;SK0102529320;1110;13110;Úrad verejného zdravotníctva Slovenskej republiky;Úrad verejného zdravotníctva SR;Rovný, PhD., MPH;prof. MUDr. Iva;;;Trnavská cesta;;52;82645;Bratislava 29
607231;01.01.1991;31.12.2500;;165565;86100;47730;331;4;21;101;31;100;SK010;SK0103;SK0103529346;1110;13110;Národný ústav detských chorôb;Národný ústav detských chorôb;Kužela;doc. Mgr. Ladis;4;53;Limbová;2643;1;83340;Bratislava 37
607240;01.01.1991;31.12.2004;;;;;331;4;21;101;0;999;SK010;SK0107;SK0107508179;1100;;Psychiatrická nemocnica;Psychiatrická nemocnica;;;;;Malacká cesta;;63;90201;Pezinok 1
607258;01.01.1991;31.12.2500;;165565;86100;;331;4;21;101;0;999;SK010;SK0106;SK0106504947;1100;11001;Psychiatrická liečebňa;Psychiatrická liečebňa;;;;;Pinelova;;759;90873;Veľké Leváre
607266;01.01.1991;31.12.2500;;165565;86100;;331;4;21;101;24;60;SK023;SK0232;SK0232502324;1110;13110;Psychiatrická nemocnica Hronovce;Psychiatrická nemocnica Hronovce;Hollý;Karol;4;;Dr. J. Zelenyáka;;65;93561;Hronovce
607274;01.01.1991;31.12.2500;;165565;86100;"47730; 86220";331;4;21;101;23;70;SK023;SK0233;SK0233500887;1110;13110;Psychiatrická nemocnica Veľké Zálužie;Psychiatrická nemocnica V.Zálužie;Nováková;Beatrix;6;;Rinok;;334;95135;Veľké Zálužie
607282;01.01.1991;31.08.2005;;;;;331;4;21;101;0;999;SK021;SK0214;SK0214507563;1100;;Psychiatrická liečebňa;Psychiatrická liečebňa;;;;;Piešťanská;232;82;92231;Sokolovce
607380;01.01.1991;30.06.1999;;;85329;;321;4;61;610;0;999;SK010;SK0107;SK0107508101;1110;;Stredná zdravotnícka škola;Stredná zdravotnícka škola;;;;;;;;90001;Modra 1
607398;01.01.1991;31.12.2004;;;;;331;4;21;101;0;999;SK010;SK0103;SK0103529346;1100;;Fakultná nemocnica s poliklinikou akad. L. Dérera;Fakultná nemocnica s poliklinikou L.Dérera;;;;;Limbová;;5;83305;Bratislava 37
607401;01.01.1991;31.12.2002;;;;;331;4;21;610;0;999;SK010;SK0102;SK0102529320;1110;;Fakultná nemocnica s poliklinikou Ružinov;Fakultná nemocnica s poliklinikou Ružinov;Potičný;Valerián;4;;Ružinovská;;6;82606;Bratislava 29
607410;01.01.1991;30.06.1997;;;;;331;4;21;610;0;999;SK010;SK0101;SK0101528595;1110;;Nemocnica s poliklinikou Staré Mesto;Nemocnica s poliklinikou Staré Mesto;;;;;Bezručova;;5;81526;Bratislava 1
607436;01.01.1991;31.12.2500;;165565;84120;;321;4;21;610;22;999;SK010;SK0102;SK0102529320;1110;13110;Regionálny úrad verejného zdravotníctva Bratislava hlavné mesto so sídlom v Bratislave;Regionálny úrad verejného zdravotníctva;Fitz;Otakar;4;;Ružinovská;;8;82009;Bratislava 29
607444;01.01.1991;01.07.1998;;;85329;;321;4;21;610;0;999;SK010;SK0105;SK0105529460;1110;;Stredná zdravotnícka škola MUDr. Ivana Hálka;Stredná zdravotnícka škola MUDr. Ivana Hálka;;;;;Strečnianska;;18;85007;Bratislava 57
607452;01.01.1991;01.07.1998;;;85329;;321;4;21;610;0;999;SK010;SK0102;SK0102529320;1110;;Stredná zdravotnícka škola;Stredná zdravotnícka škola;;;;;Vietnamská;;15;82104;Bratislava 2
608033;01.01.1991;31.12.2500;;686832;91020;;331;4;26;610;4;10;SK010;SK0102;SK0102529311;1110;13110;Múzeum obchodu Bratislava;Múzeum obchodu Bratislava;Juck;Marcel;;;Linzbothova;;16;82106;Bratislava 214
608106;01.01.1991;31.08.2005;;;;;321;4;22;610;0;999;SK010;SK0101;SK0101528595;1110;;Centrum poradensko-psychologických služieb;Centrum poradensko-psychologických služieb;;;;;Špitálska;;6;81248;Bratislava 1
608122;01.01.1991;13.05.2014;;;17230;;301;4;26;101;0;999;SK010;SK0101;SK0101528595;1100;11001;Bratislavské tlačiarne, š.p.;Bratislavské tlačiarne, š.p.;;;;;Lazaretská 12, P.O.BOX;;195;81499;Bratislava 1
608131;01.01.1991;31.12.2500;;686832;18110;;301;4;26;101;0;999;SK010;SK0101;SK0101528595;1100;11001;Concordia PRESS, š.p.;Concordia PRESS, š.p.;;;;;Kolárska;;8;81499;Bratislava 1
608181;01.01.1991;21.09.2005;;;18110;;301;4;26;101;0;999;SK031;SK0315;SK0315510262;1100;;"TeLeM, š.p.""v likvidácii""";"TeLeM, š.p.""v likvidácii|Ballonová|Gabriela|01||Bernolákova||7|03180|Liptovský Mikuláš 1";;;;;;;;;
608254;01.01.1991;21.03.2014;;;14390;;301;4;26;101;0;999;SK023;SK0233;SK0233500011;1100;;Luna, štátny podnik v likvidácii;Luna, štátny podnik v likvidácii;Vajcík;Bohuslav;3;;Štúrova;;51;94901;Nitra 1
608696;01.01.1991;26.06.2012;;;33120;"46690; 46140";301;4;26;101;0;999;SK042;SK0421;SK0421526509;1100;;STROJÁRNE GELNICA, štátny podnik, v likvidácii;STROJÁRNE GELNICA, š.p. v likvidácii;Olšavský;Emanuel;1;;Hnilecká;;19;05680;Gelnica
608726;01.01.1991;25.08.1999;;;;;301;4;26;101;0;999;SK010;SK0103;SK0103529346;1100;;OMNISOFT Bratislava, štátny podnik v likvidácii;OMNISOFT Bratislava, štátny podnik v likvidá;;;;;Zátišie;;4;83103;Bratislava 3
608751;01.01.1991;31.12.2500;;686832;22210;;301;4;26;101;0;999;SK021;SK0211;SK0211501522;1110;13110;DUNAPLAST Veľký Meder, štátny podnik v likvidácii;DUNAPLAST Veľký Meder, š. p. v likvidácii;Szabó;Ladislav;1;;;;;93201;Veľký Meder
608815;01.01.1991;15.04.2004;;;;;501;4;26;101;0;999;SK023;SK0232;SK0232502987;9100;;Slovprogres a.s.  org.zložka Slovbijoux;Slovprogres a.s.  org.zložka Slovbijoux;;;;;Zlatnícka;;17;93701;Želiezovce
608866;01.01.1991;01.11.1994;;;;;501;4;26;101;0;999;SK042;SK0422;SK0422598186;9100;;Tepelná energetika,odštepný závod;Tepelná energetika,odštepný závod;;;;;Teplárenská;;3;04292;Košice 1
609111;01.02.1991;26.05.1993;;;;;331;4;51;610;0;999;SK032;SK0322;SK0322516643;1110;;KABINET EVOLUČNEJ A APLIKOVANEJ KRAJINNEJ       EKOLÓGIE;KABINET EVOLUČNEJ A APLIKOVANEJ KRAJINNEJ;;;;;A.Kmeťa;;13;96900;Banská Štiavnica 1
609170;01.01.1991;31.08.1998;;;;;331;4;24;101;0;999;SK010;SK0102;SK0102529320;1100;;Stredisko praktického vyučovania kultúry;Stredisko praktického vyučovania kultúry;;;;;Mliekárenská;;10;82109;Bratislava 2
609315;10.04.1991;01.02.2002;;;;;301;4;28;101;0;999;SK042;SK0422;SK0422598186;1100;;PREFA Košice, š.p. v likvidácii;PREFA Košice, š.p. v likvidácii;Čontofalský;Ján;1;;Štefánikova;;2;04244;Košice 1
610275;01.06.1991;31.01.2003;;;;;331;4;21;610;0;999;SK023;SK0232;SK0232502782;1110;;Nemocnica s poliklinikou;Nemocnica s poliklinikou;;;;;Hontianska cesta;;36;93601;Šahy
610321;01.06.1991;31.12.1995;;;;;331;4;64;610;0;999;SK023;SK0235;SK0235504025;1110;;Závodná poliklinika;Závodná poliklinika;;;;;;;;92703;Šaľa 3
610330;01.06.1991;01.01.1995;;;;;331;4;61;610;0;999;SK010;SK0101;SK0101528595;1110;;Nemocnica s poliklinikou;Nemocnica s poliklinikou;;;;;Nám. SNP;;10;81465;Bratislava 1
610348;01.06.1991;31.12.2002;;;;;331;4;21;101;0;999;SK010;SK0107;SK0107508101;1100;;Nemocnica s poliklinikou;Nemocnica s poliklinikou;;;;;Vajanského;;1;90001;Modra 1
610381;01.06.1991;31.12.2500;00607282;165565;86100;"47730; 47740; 86220";331;4;21;101;31;100;SK021;SK0217;SK0217506745;1110;13110;Fakultná nemocnica Trnava;Fakultná nemocnica Trnava;Žitňan;Daniel;4;53;Andreja Žarnova;;11;91775;Trnava 1
610399;01.06.1991;31.12.2002;;;;;331;4;21;610;0;999;SK021;SK0214;SK0214507440;1110;;Nemocnica s poliklinikou;Nemocnica s poliklinikou;;;;;Winterova;;66;92101;Piešťany 1
610429;24.07.1996;31.12.2002;;;;;331;4;21;610;0;999;SK022;SK0222;SK0222513156;1110;;Nemocnica s poliklinikou;Nemocnica s poliklinikou;;;;;Štúrova;;3;01901;Ilava
610453;24.07.1996;31.12.2002;;;;;331;4;21;610;0;999;SK032;SK0323;SK0323508497;1110;;Nemocnica s poliklinikou;Nemocnica s poliklinikou;;;;;Banisko;;1;97742;Brezno 1
610461;24.07.1996;31.12.2500;;;87900;;321;4;22;610;12;999;SK032;SK0323;SK0323509086;1110;13110;Detský domov;Detský domov;Pôbišová;Gabriela;4;;Chalupkova;;2;97646;Valaská
610470;01.06.1991;31.12.2500;;165565;86100;"80100; 21200; 72110";331;4;21;101;31;100;SK022;SK0229;SK0229505820;1110;13110;Fakultná nemocnica Trenčín;Fakultná nemocnica Trenčín;Juruš;Marián;1;;Legionárska;;28;91171;Trenčín 1
610488;01.06.1991;31.12.2002;;;;;331;4;21;610;0;999;SK022;SK0224;SK0224506338;1110;;Nemocnica s poliklinikou;Nemocnica s poliklinikou;;;;;Štefánikova;;1;91531;Nové Mesto nad Váhom
610496;01.06.1991;31.12.1999;;;;;331;4;21;610;0;999;SK022;SK0229;SK0229506613;1110;;Nemocnica s poliklinikou;Nemocnica s poliklinikou;;;;;Hviezdoslavova;;3;91451;Trenčianske Teplice
610526;01.07.1991;31.12.2500;;30794536;87900;;321;4;22;610;11;999;SK042;SK0426;SK0426522074;1110;13110;Detský domov Štós;Detský domov Štós;Németh;Peter;4;;Štós;;125;04426;Štós
610577;01.06.1991;31.12.2500;00610593;165565;86100;47730;331;4;21;101;32;110;SK041;SK0417;SK0417524140;1110;13110;Fakultná nemocnica s poliklinikou J. A. Reimana Prešov;Fakultná nemocnica s poliklinikou J. A. Reim;Čuha, MBA, MPH;Radoslav;4;;Hollého;;14;08181;Prešov 1
610593;01.06.1991;01.07.2003;;;;;331;4;21;610;0;999;SK041;SK0417;SK0417524140;1110;;Psychiatrická nemocnica;Psychiatrická nemocnica;Brejová;Marta;4;;Sládkovičova;;25;08001;Prešov 1
610607;01.06.1991;31.12.2500;;;87900;;321;4;22;610;21;999;SK041;SK0417;SK0417524140;1110;13110;Detský domov Prešov;Detský domov Prešov;Mihaľo;Peter;16;;Požiarnicka;;3;08001;Prešov 1
610682;01.06.1991;01.07.2002;;;;;331;4;21;610;0;999;SK041;SK0411;SK0411519006;1110;;Nemocnica s poliklinikou;Nemocnica s poliklinikou;;;;;Sv.Jakuba;;21;08576;Bardejov 1
610704;01.06.1991;31.12.2002;;;;;331;4;62;101;0;999;SK021;SK0215;SK0215504203;1100;;Poliklinika Senica;Poliklinika Senica;;;;;Jilemnického;;699;90501;Senica nad Myjavou 1
