ICO;DATVZN;DATZAN;ICOP;ICON;HLSKNACE;SKNACE;FORMA;DRVLST;USORG;SNU;KATP;KATP13;SIDKRJ;SIDOKR;SIDOBEC;TYPJ;ESU2010;NAZOV;SNAZOV;PRIEZ;MENO;TITPRED;TITZA;SIDUL;SIDSUPCISLO;SIDORCISLO;SIDPSC;SIDPOSTA
36060178;01.01.2000;30.04.2004;;;;;321;4;15;610;0;999;SK010;SK0101;SK0101528595;1110;;Úrad pre štátnu pomoc;Úrad pre štátnu pomoc;;;;;Radlinského;;37;81107;Bratislava 1
35999764;07.10.1998;14.06.2000;;;;;321;4;20;610;0;999;SK032;SK0321;SK0321508438;1110;;Fakulta dramatických umení Akadémie umení v Banskej Bystrici;Fakulta dramtických umení AU B.Bystrica;Turzonovová;Božidara;8;;J.Kollára;;22;97401;Banská Bystrica 1
618985;11.11.1991;27.03.2002;;;;;321;4;20;610;0;999;SK041;SK0414;SK0414543578;1110;;Kňazský seminár biskupa Jána Vojtaššáka v Spišskej Kapitule;Kňazský seminár biskupa Jána Vojtaššáka;;;;;Spišské Podhradie;;;05304;Spišské Podhradie
37816314;01.07.1996;31.12.2500;;;85200;;321;4;20;610;0;999;SK032;SK032C;SK032C517097;1110;13110;Špeciálna základná škola;Špeciálna základná škola;Vozárová;Anna;17;;Rekreačná;;393;96801;Nová Baňa
36060313;17.01.2000;20.03.2002;;;;;321;4;20;610;0;999;SK010;SK0105;SK0105529460;1110;;Fakulta medzinárodných vzťahov Ekonomickej univerzity v Bratislave;Fakulta medzinárodných vzťahov EU;;;;;Dolnozemská cesta;;1;85235;Bratislava 55
584932;01.07.1990;13.06.2000;;;;;501;4;26;101;0;999;SK010;SK0102;SK0102529320;9100;;Slovenský plynárenský priemysel, š.p.  Bratislava, odštepný závod Bratislava;SPP š.p. Bratislava,odštep.závod;Lapuník;Miroslav;1;;Votrubova;;1;82517;Bratislava
37801279;01.07.2000;31.12.2500;;684325;85420;;382;4;20;610;25;10;SK031;SK0318;SK0318510998;1110;13110;Katolícka univerzita v Ružomberku;Katolícka univerzita v Ružomberku;Jarab;ThDr. Jozef;72;53;Hrabovská cesta;5512;1A;03401;Ružomberok 1
36534587;09.12.1999;31.12.2004;;;68200;;301;4;26;101;0;999;SK023;SK0233;SK0233500011;1100;;AGROKOV Nitra, štátny podnik;AGROKOV Nitra, štátny podnik;Mládek;Jozef;1;;Rastislavova;;2;94901;Nitra 1
17056420;01.01.1992;07.02.2008;;;53100;;501;4;29;101;0;999;SK042;SK0422;SK0422598186;9100;;Slovenská pošta, štátny podnik, Východoslovenské riaditeľstvo pôšt Košice;Slov.pošta, š.p., Východosl.riad.pôšt Košice;Relovský;Milan;1;;Thurzova;;1;04221;Košice 1
37819003;01.09.1998;31.12.2500;;;85322;;321;4;20;610;11;999;SK032;SK032A;SK032A516571;1110;13110;Odborné učilište internátne;Odborné učilište internátne;Pástor;Pavel;1;;Gottwaldova;70;43;99106;Želovce
36066869;01.11.2000;01.01.2006;;;66110;84110;382;4;35;441;0;999;SK010;SK0101;SK0101528595;1100;;Úrad pre finančný trh;Úrad pre finančný trh;;;;;Vazovova;;2;81318;Bratislava 1
31965458;01.01.2001;31.12.2500;;;85200;;321;4;20;610;6;999;SK042;SK042B;SK042B528366;1110;13110;Základná škola pri zdravotníckom zariadení Hraň 447;ZŠ pri zdravotníckom zariadení Hraň 447;Fedorová;Dana;1;;Hraň;;447;07603;Hraň
35804670;29.01.2001;20.01.2011;;;47610;53200;121;4;29;101;0;999;SK010;SK0101;SK0101528595;1100;;RAVS, a.s. v likvidácii;RAVS, a.s. v likvidácii;Galamboš;Miroslav;1;;Nám. Slobody;;27;81105;Bratislava 1
35505567;01.02.2001;22.03.2001;;;;;331;4;68;610;0;999;SK042;SK0427;SK0427522589;1110;;Škola v prírode Šírava;Škola v prírode Šírava;Hniďák;Alexander;1;;Zemplínska šírava-Kamenec;;;07236;Kaluža
36204447;12.02.2001;31.12.2500;;;1110;"46230; 46210; 46190; 10910; 01620; 02409";112;4;99;101;12;60;SK042;SK042B;SK042B544019;1100;11001;AGROPODNIK SLAMOZ spol. s r.o.;AGROPODNIK SLAMOZ spol. s r.o.;Spišák;Jaroslav;1;;Hlavná;;480;07664;Zemplínska Teplica
36061611;01.06.2001;31.12.2013;;;84130;;321;4;26;610;0;999;SK010;SK0102;SK0102529320;1110;;Centrum pre chemické látky a prípravky;Centrum pre chemické látky a prípravky;Rusňák;Peter;1;51;Mierová;;19;82715;Bratislava 212
36069493;01.07.2001;30.06.2005;"17056489; 30808502";;;;321;4;20;610;0;999;SK010;SK0104;SK0104529389;1110;;Agentúra na podporu vedy a techniky;Agentúra na podporu vedy a techniky;;;;;Hanulova;;5;84101;Bratislava 42
35815256;01.07.2001;31.12.2500;"00211290; 00584941";;35230;"58190; 69200; 49509; 52100; 52210; 56109; 49390; 45200; 47300; 71200; 73200; 46900; 91010; 43220";121;4;99;101;25;140;SK010;SK0102;SK0102529320;1100;11001;Slovenský plynárenský priemysel, a.s.;Slovenský plynárenský priemysel, a.s.;Šabík;Štefan;1;;Mlynské nivy;44;a;82511;Bratislava 26
36069655;01.07.2001;31.12.2500;;164381;91010;;321;4;20;610;6;999;SK010;SK0105;SK0105529460;1110;13110;Slovenská pedagogická knižnica;Slovenská pedagogická knižnica;Grigar;Vladimír;8;;Hálova;;6;85101;Bratislava 5
36069841;01.08.2001;31.12.2500;37926055;;84110;;321;4;99;610;21;999;SK010;SK0102;SK0102529320;1110;13110;Úrad pre reguláciu sieťových odvetví;Úrad pre reguláciu sieťových odvetví;Holienčík;Jozef;1;53;Bajkalská;;27;82007;Bratislava 27
36061701;01.07.2001;31.12.2500;;;84240;;321;4;41;610;23;999;SK010;SK0105;SK0105529460;1110;13110;Národný bezpečnostný úrad;Národný bezpečnostný úrad;Magala;Jozef;1;;Budatínska;;30;85106;Bratislava 5
36070513;01.10.2001;31.12.2500;35710331;686832;84130;;331;4;26;610;12;10;SK010;SK0102;SK0102529320;1110;13110;Slovenská agentúra pre rozvoj investícií a obchodu;SARIO;;;;;Trnavská cesta;;100;82101;Bratislava 2
166251;01.01.1970;31.12.2500;;166260;72190;;331;4;31;610;7;10;SK010;SK0102;SK0102529320;1110;13110;Výskumný ústav geodézie a kartografie v Bratislave;Výskumný ústav geodézie a kartografie;Hamaš;Ľudovít;1;;Chlumeckého;;4;82662;Bratislava 29
35822163;15.10.2001;31.12.2500;30844169;;68200;"01610; 52210; 68310; 55100; 43220; 46180; 73200; 43390; 43210";121;4;10;101;11;50;SK010;SK0101;SK0101528595;1100;11001;Správa služieb diplomatickému zboru, a.s.;Správa služieb diplomatickému zboru, a.s.;Černý;Marek;1;;Palisády;;31;81106;Bratislava 1
